"Sprite","Files","Subfolders"
"DefineSprite_1080","50",""
"DefineSprite_1082","206",""
"DefineSprite_1084","1",""
"DefineSprite_1088","1",""
"DefineSprite_1090","1",""
"DefineSprite_1092","1",""
"DefineSprite_1113","291",""
"DefineSprite_1114","1",""
"DefineSprite_1117","20",""
"DefineSprite_1119","1",""
"DefineSprite_1122","1",""
"DefineSprite_1132","20",""
"DefineSprite_1143","20",""
"DefineSprite_1151","20",""
"DefineSprite_1154","1",""
"DefineSprite_1167","18",""
"DefineSprite_1170","1",""
"DefineSprite_1188","18",""
"DefineSprite_1191","1",""
"DefineSprite_1201","20",""
"DefineSprite_1209","20",""
"DefineSprite_1214","20",""
"DefineSprite_1217","1",""
"DefineSprite_1237","20",""
"DefineSprite_1248","20",""
"DefineSprite_1259","20",""
"DefineSprite_1269","22",""
"DefineSprite_1286","19",""
"DefineSprite_1295","19",""
"DefineSprite_1319","53",""
"DefineSprite_1340","34",""
"DefineSprite_1358","44",""
"DefineSprite_1372","2",""
"DefineSprite_1398","66",""
"DefineSprite_1406","14",""
"DefineSprite_1407","162",""
"DefineSprite_1440","99",""
"DefineSprite_1442","1",""
"DefineSprite_1444","1",""
"DefineSprite_1446","1",""
"DefineSprite_1447","139",""
"DefineSprite_1450","1",""
"DefineSprite_1451","1",""
"DefineSprite_1454","1",""
"DefineSprite_1455","86",""
"DefineSprite_1474","18",""
"DefineSprite_1475","421",""
"DefineSprite_1478","1",""
"DefineSprite_1488","20",""
"DefineSprite_1505","1",""
"DefineSprite_1508","1",""
"DefineSprite_1518","20",""
"DefineSprite_1524","1",""
"DefineSprite_1525","85",""
"DefineSprite_1529","22",""
"DefineSprite_1538","17",""
"DefineSprite_1539_runner","924",""
"DefineSprite_1542","1",""
"DefineSprite_1546","1",""
"DefineSprite_1547","1",""
"DefineSprite_1548","1",""
"DefineSprite_1549","1",""
"DefineSprite_1552","1",""
"DefineSprite_1555","28",""
"DefineSprite_156","1",""
"DefineSprite_1586","60",""
"DefineSprite_1588","63",""
"DefineSprite_1590","45",""
"DefineSprite_1592","5",""
"DefineSprite_1594","1",""
"DefineSprite_1599","1",""
"DefineSprite_160","4",""
"DefineSprite_1600","521",""
"DefineSprite_1602","1",""
"DefineSprite_1605","1",""
"DefineSprite_1607","1",""
"DefineSprite_161","1",""
"DefineSprite_1610","1",""
"DefineSprite_1612","1",""
"DefineSprite_1614","1",""
"DefineSprite_1619","48",""
"DefineSprite_1620","2",""
"DefineSprite_1624","1",""
"DefineSprite_1626","1",""
"DefineSprite_1629","208",""
"DefineSprite_1635","1",""
"DefineSprite_1638","69",""
"DefineSprite_1640","69",""
"DefineSprite_1642","69",""
"DefineSprite_1643","19",""
"DefineSprite_165","357",""
"DefineSprite_1674","1",""
